Country,Year,Number of Suicides
Canada,1985,3258
Canada,1986,3670
Canada,1987,3591
Canada,1988,3510
Canada,1989,3491
Canada,1990,3378
Canada,1991,3593
Canada,1992,3708
Canada,1993,3803
Canada,1994,3748
Canada,1995,3968
Canada,1996,3941
Canada,1997,3681
Canada,1998,3699
Canada,1999,4074
Canada,2000,3606
Canada,2001,3694
Canada,2002,3650
Canada,2003,3765
Canada,2004,3613
Canada,2005,3743
Canada,2006,3512
Canada,2007,3611
Canada,2008,3705
Canada,2009,3890
Canada,2010,3951
Canada,2011,3728
Canada,2012,3926
Canada,2013,4054
