Country,Year,Number of Suicides
Russia,1989,37921
Russia,1990,39028
Russia,1991,39281
Russia,1992,45923
Russia,1993,55846
Russia,1994,61420
Russia,1995,60548
Russia,1996,57511
Russia,1997,54746
Russia,1998,51518
Russia,1999,56974
Russia,2000,56619
Russia,2001,56958
Russia,2002,55024
Russia,2003,51445
Russia,2004,49096
Russia,2005,45802
Russia,2006,42614
Russia,2007,41149
Russia,2008,38211
Russia,2009,37408
Russia,2010,33356
Russia,2011,31038
Russia,2012,29643
Russia,2013,28690
Russia,2014,26541
Russia,2015,25432
